Country,Year,Value
Austria,1995,20083.222
Austria,1996,20278.333
Austria,1997,21037.29
Austria,1998,22187.131
Austria,1999,23376.177
Austria,2000,23744.2
Austria,2001,23948.359
Austria,2002,24615.981
Austria,2003,25079.467
Austria,2004,25801.489
Austria,2005,26430.868
Austria,2006,27182.36
Austria,2007,28128.738
Austria,2008,29274.054
Austria,2009,30031.137
Austria,2010,30122.521
Austria,2011,30074.917
Austria,2012,30728.288
Austria,2013,30615.424
Austria,2014,31134.943
Austria,2015,31649.643
Austria,2016,32301.333
Austria,2017,32831.764
Austria,2018,33670.936
Austria,2019,34740.367
Belgium,1995,21453.034
Belgium,1996,22863.02
Belgium,1997,22390.458
Belgium,1998,23110.418
Belgium,1999,24256.641
Belgium,2000,24970.01
Belgium,2001,25905.253
Belgium,2002,26347.108
Belgium,2003,29470.939
Belgium,2004,31289.11
Belgium,2005,31322.494
Belgium,2006,31516.125
Belgium,2007,32298.54
Belgium,2008,34245.555
Belgium,2009,36455.887
Belgium,2010,36977.56
Belgium,2011,37600.529
Belgium,2012,38474.031
Belgium,2013,38652.72
Belgium,2014,38821.768
Belgium,2015,39756.504
Belgium,2016,40121.795
Belgium,2017,41148.879
Belgium,2018,41136.668
Belgium,2019,41949.361
Denmark,1995,11952.511
Denmark,1996,12416.943
Denmark,1997,12637.336
Denmark,1998,12416.604
Denmark,1999,14447.879
Denmark,2000,14628.802
Denmark,2001,15415.821
Denmark,2002,16055.221
Denmark,2003,16503.428
Denmark,2004,17152.41
Denmark,2005,17949.597
Denmark,2006,18827.614
Denmark,2007,19366.606
Denmark,2008,19973.553
Denmark,2009,21126.222
Denmark,2010,20938.304
Denmark,2011,20628.552
Denmark,2012,21001.698
Denmark,2013,21181.781
Denmark,2014,21670.126
Denmark,2015,22365.304
Denmark,2016,22868.586
Denmark,2017,23225.525
Denmark,2018,23626.413
Denmark,2019,23972.926
Greece,1995,10206.981
Greece,1996,10650.035
Greece,1997,10908.37
Greece,1998,11052.588
Greece,1999,12057.511
Greece,2000,12938.236
Greece,2001,15287.218
Greece,2002,15745.829
Greece,2003,17032.571
Greece,2004,16711.488
Greece,2005,18322.949
Greece,2006,18956.94
Greece,2007,20435.515
Greece,2008,21998.728
Greece,2009,23605.567
Greece,2010,22398.334
Greece,2011,18295.302
Greece,2012,16535.17
Greece,2013,14108.401
