Code,Country,Age,Year,Population
ISR,Israel,TOTAL,1995,5544900
ISR,Israel,TOTAL,1996,5685100
ISR,Israel,TOTAL,1997,5828900
ISR,Israel,TOTAL,1998,5970700
ISR,Israel,TOTAL,1999,6125300
ISR,Israel,TOTAL,2000,6289200
ISR,Israel,TOTAL,2001,6439000
ISR,Israel,TOTAL,2002,6570000
ISR,Israel,TOTAL,2003,6689700
ISR,Israel,TOTAL,2004,6809000
ISR,Israel,TOTAL,2005,6930128
ISR,Israel,TOTAL,2006,7053707
ISR,Israel,TOTAL,2007,7180115
ISR,Israel,TOTAL,2008,7308795
ISR,Israel,TOTAL,2009,7485565
ISR,Israel,TOTAL,2010,7623561
ISR,Israel,TOTAL,2011,7765832
ISR,Israel,TOTAL,2012,7910525
ISR,Israel,TOTAL,2013,8059456
ISR,Israel,TOTAL,2014,8215668
ISR,Israel,TOTAL,2015,8380149
ISR,Israel,TOTAL,2016,8546009
ISR,Israel,TOTAL,2017,8713300
ISR,Israel,TOTAL,2018,8872943
ISR,Israel,0_4,1995,567100
ISR,Israel,0_4,1996,581300
ISR,Israel,0_4,1997,595300
ISR,Israel,0_4,1998,610500
ISR,Israel,0_4,1999,628100
ISR,Israel,0_4,2000,645900
ISR,Israel,0_4,2001,661600
ISR,Israel,0_4,2002,674500
ISR,Israel,0_4,2003,686600
ISR,Israel,0_4,2004,699000
ISR,Israel,0_4,2005,709270
ISR,Israel,0_4,2006,719232
ISR,Israel,0_4,2007,731310
ISR,Israel,0_4,2008,743203
ISR,Israel,0_4,2009,753730
ISR,Israel,0_4,2010,773735
ISR,Israel,0_4,2011,794338
ISR,Israel,0_4,2012,815166
ISR,Israel,0_4,2013,833448
ISR,Israel,0_4,2014,849417
ISR,Israel,0_4,2015,863969
ISR,Israel,0_4,2016,878182
ISR,Israel,0_4,2017,892100
ISR,Israel,0_4,2018,915581
ISR,Israel,05_9,1995,545400
ISR,Israel,05_9,1996,547800
ISR,Israel,05_9,1997,556200
ISR,Israel,05_9,1998,566300
ISR,Israel,05_9,1999,577400
ISR,Israel,05_9,2000,590100
ISR,Israel,05_9,2001,603300
ISR,Israel,05_9,2002,615300
ISR,Israel,05_9,2003,627500
ISR,Israel,05_9,2004,641300
ISR,Israel,05_9,2005,656116
ISR,Israel,05_9,2006,670367
ISR,Israel,05_9,2007,683760
ISR,Israel,05_9,2008,697482
ISR,Israel,05_9,2009,700579
ISR,Israel,05_9,2010,711852
ISR,Israel,05_9,2011,722243
ISR,Israel,05_9,2012,735525
ISR,Israel,05_9,2013,748381
ISR,Israel,05_9,2014,763923
ISR,Israel,05_9,2015,785325
ISR,Israel,05_9,2016,806950
ISR,Israel,05_9,2017,826800
ISR,Israel,05_9,2018,845775
ISR,Israel,10_14,1995,526000
ISR,Israel,10_14,1996,534800
ISR,Israel,10_14,1997,543200
ISR,Israel,10_14,1998,548800
ISR,Israel,10_14,1999,554800
ISR,Israel,10_14,2000,562200
ISR,Israel,10_14,2001,568500
ISR,Israel,10_14,2002,575100
ISR,Israel,10_14,2003,582600
ISR,Israel,10_14,2004,589900
ISR,Israel,10_14,2005,598722
ISR,Israel,10_14,2006,609656
ISR,Israel,10_14,2007,621221
ISR,Israel,10_14,2008,633838
ISR,Israel,10_14,2009,632523
ISR,Israel,10_14,2010,647344
ISR,Israel,10_14,2011,665508
ISR,Israel,10_14,2012,676438
ISR,Israel,10_14,2013,691510
ISR,Israel,10_14,2014,706511
ISR,Israel,10_14,2015,718722
ISR,Israel,10_14,2016,730466
ISR,Israel,10_14,2017,744100
ISR,Israel,10_14,2018,756756
ISR,Israel,15_19,1995,505900
ISR,Israel,15_19,1996,512600
ISR,Israel,15_19,1997,517100
ISR,Israel,15_19,1998,525500
ISR,Israel,15_19,1999,535800
ISR,Israel,15_19,2000,546300
ISR,Israel,15_19,2001,556300
ISR,Israel,15_19,2002,563400
ISR,Israel,15_19,2003,566700
ISR,Israel,15_19,2004,569200
ISR,Israel,15_19,2005,572629
ISR,Israel,15_19,2006,576078
ISR,Israel,15_19,2007,581395
ISR,Israel,15_19,2008,588546
ISR,Israel,15_19,2009,593914
ISR,Israel,15_19,2010,598759
ISR,Israel,15_19,2011,604858
ISR,Israel,15_19,2012,613497
ISR,Israel,15_19,2013,624637
ISR,Israel,15_19,2014,637766
ISR,Israel,15_19,2015,653359
ISR,Israel,15_19,2016,669259
ISR,Israel,15_19,2017,683800
ISR,Israel,15_19,2018,698257
ISR,Israel,20_24,1995,476900
ISR,Israel,20_24,1996,490800
ISR,Israel,20_24,1997,507100
ISR,Israel,20_24,1998,519700
ISR,Israel,20_24,1999,529900
ISR,Israel,20_24,2000,536300
ISR,Israel,20_24,2001,537700
ISR,Israel,20_24,2002,538900
ISR,Israel,20_24,2003,543800
ISR,Israel,20_24,2004,550400
ISR,Israel,20_24,2005,557116
ISR,Israel,20_24,2006,564572
ISR,Israel,20_24,2007,570534
ISR,Israel,20_24,2008,573371
ISR,Israel,20_24,2009,577003
ISR,Israel,20_24,2010,578889
ISR,Israel,20_24,2011,583781
ISR,Israel,20_24,2012,590268
ISR,Israel,20_24,2013,596779
ISR,Israel,20_24,2014,602809
ISR,Israel,20_24,2015,608755
ISR,Israel,20_24,2016,615920
ISR,Israel,20_24,2017,625200
ISR,Israel,20_24,2018,635338
ISR,Israel,25_29,1995,406800
ISR,Israel,25_29,1996,413700
ISR,Israel,25_29,1997,434700
ISR,Israel,25_29,1998,455500
ISR,Israel,25_29,1999,476900
ISR,Israel,25_29,2000,498500
ISR,Israel,25_29,2001,517200
ISR,Israel,25_29,2002,531000
ISR,Israel,25_29,2003,539600
ISR,Israel,25_29,2004,544400
ISR,Israel,25_29,2005,545734
ISR,Israel,25_29,2006,543940
ISR,Israel,25_29,2007,543992
ISR,Israel,25_29,2008,549110
ISR,Israel,25_29,2009,565875
ISR,Israel,25_29,2010,572650
ISR,Israel,25_29,2011,575375
ISR,Israel,25_29,2012,579644
